AUPRC,AUROC,absolute_difference,checkpoint,cliffs_delta,direction,effect_size,exact_permutation_result,false_count,false_max,false_mean,false_median,false_min,false_std,feature,rank_biserial,relative_difference,sample_warning,top_2_recall,top_5_recall,true_count,true_max,true_mean,true_median,true_min,true_rank_positions,true_std
0.5833333333333333,0.9,1465.0000000000002,T-15,0.8,TRUE_HIGH,0.8,0.25757575757575757,10,4466.999983333333,1739.4999833333336,1617.9999833333334,33.99998333333333,1528.5138697440727,minutes_since_window_start,0.8,0.9054388226765434,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,3121.9999833333336,3082.9999833333336,3082.9999833333336,3043.9999833333336,2|3,39.0
1.0,1.0,-1510.9999999999998,T-15,-1.0,TRUE_LOW,-1.0,0.12121212121212122,10,4451.000016666667,2025.5000166666664,1728.0000166666664,273.0000166666667,1645.2995623897796,minutes_to_force_close,-1.0,-0.874421287862449,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,256.0000166666667,217.00001666666668,217.00001666666668,178.00001666666668,1|2,39.0
0.3333333333333333,0.675,0.15000000000000002,T-15,0.35,TRUE_HIGH,0.35,0.6666666666666666,10,0.43000000000000005,-0.036,-0.095,-0.47000000000000003,0.2628763968103641,net_inventory,0.35,1.5789473684210529,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,0.2,0.05500000000000001,0.05500000000000001,-0.09,3|6,0.14500000000000002
0.25,0.55,142.04610000000002,T-15,0.1,TRUE_HIGH,0.1,0.6666666666666666,10,230.14950000000002,-42.8876,-124.79084999999999,-253.04760000000002,190.4882602714456,net_inventory_notional,0.1,1.1382733589842526,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,0.5,2,189.43200000000002,17.255250000000018,17.255250000000018,-154.92149999999998,4|8,172.17675
0.325,0.7,-0.04005880000000006,T-15,-0.4,TRUE_LOW,-0.4,0.696969696969697,10,0.5060952000000001,0.37794988,0.38441230000000004,0.2063394,0.09825671655410434,net_inventory_utilization,-0.4,-0.10420790385739492,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.0,1.0,2,0.37886400000000003,0.3443535,0.3443535,0.309843,4|5,0.03451050000000003
1.0,0.5,0.0,T-15,0.0,TIE,0.0,1.0,10,0.0,0.0,0.0,0.0,0.0,new_inventory_fills,0.0,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
0.5,0.625,-0.5,T-15,-0.25,TRUE_LOW,-0.25,1.0,10,3.0,2.7,3.0,1.0,0.6403124237432849,occupied_grid_levels,-0.25,-0.16666666666666666,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,1.0,2,3.0,2.5,2.5,2.0,2|4,0.5
0.35,0.525,447.0,T-15,-0.05,TRUE_LOW,-0.05,0.9696969696969697,10,2922.0,731.8,333.5,33.0,895.1014244207189,oldest_unpaired_lot_age,-0.05,1.3403298350824588,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,0.5,0.5,2,1496.0,780.5,780.5,65.0,2|10,715.5
1.0,0.65,0.0,T-15,-0.3,TRUE_LOW,-0.3,1.0,10,1.0,0.3,0.0,0.0,0.458257569495584,one_sided_fill_ratio,-0.3,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
1.0,0.65,0.0,T-15,-0.3,TRUE_LOW,-0.3,1.0,10,1.0,0.3,0.0,0.0,0.458257569495584,one_sided_fill_ratio_10m,-0.3,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
1.0,0.5,0.0,T-15,0.0,TIE,0.0,1.0,10,0.0,0.0,0.0,0.0,0.0,one_sided_fill_ratio_1m,0.0,0.0,EXPLORATORY_SMALL_SAMPLE;N_TRUE=2,1.0,1.0,2,0.0,0.0,0.0,0.0,1|2,0.0
