allowed,code,crossings_per_hour,long_signal_allowed,long_signal_reasons,market_group,net_capacity_per_hour,profile,quote_volume_per_hour,reason,reversal_ratio,scenario,split,spread_to_step_ratio,symbol,trade_count_per_hour,window_key,zero_activity_ratio
True,PASSED,2.0,,,US_STOCK,0.013963621638535224,N20,26665148.207999997,,0.41379310344827586,PRIMARY_ZERO_MAKER,Final_OOS,0.024272401926064707,SNDKUSDT,71050.0,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,0.0
True,PASSED,2.0,,,US_STOCK,0.013963621638535224,N20,26665148.207999997,,0.41379310344827586,EXECUTION_STRESS,Final_OOS,0.024272401926064707,SNDKUSDT,71050.0,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.5,,,US_STOCK,0.00377169366297311,N20,26665148.207999997,Grid Viability Gate 未通过：预计穿越频率不足 (0.5000 < 1.0000/h),0.41379310344827586,MAKER_PROMO_OFF,Final_OOS,0.021735852748643328,SNDKUSDT,71050.0,US_STOCK:2026-07-17T20:00:00+00:00:2026-07-20T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,12498599.2044,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.3620689655172414,PRIMARY_ZERO_MAKER,Final_OOS,0.021735852748643328,SNDKUSDT,42726.0,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,12498599.2044,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.3620689655172414,EXECUTION_STRESS,Final_OOS,0.021735852748643328,SNDKUSDT,42726.0,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,0.0,,,US_STOCK,0.0,N20,12498599.2044,Grid Viability Gate 未通过：预计穿越频率不足 (0.0000 < 1.0000/h)；预计费后循环容量不足 (0.000000 < 0.000250/h),0.3620689655172414,MAKER_PROMO_OFF,Final_OOS,0.021735852748643328,SNDKUSDT,42726.0,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,0.0
True,PASSED,2.4210526315789473,,,US_STOCK,0.0030000424237022556,N100,12498599.2044,,0.3620689655172414,PRIMARY_ZERO_MAKER,Final_OOS,0.16140122635940624,SNDKUSDT,42726.0,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,0.0
True,PASSED,2.4210526315789473,,,US_STOCK,0.0030000424237022556,N100,12498599.2044,,0.3620689655172414,EXECUTION_STRESS,Final_OOS,0.16140122635940624,SNDKUSDT,42726.0,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,0.0
True,PASSED,2.4210526315789473,,,US_STOCK,0.0020316213710706767,N100,12498599.2044,,0.3620689655172414,MAKER_PROMO_OFF,Final_OOS,0.16140122635940624,SNDKUSDT,42726.0,US_STOCK:2026-07-24T20:00:00+00:00:2026-07-27T08:00:00+00:00,0.0
False,VIABILITY_BLOCKED,4.666666666666667,,,US_STOCK,0.020544306000267243,N20,12625.9378,Grid Viability Gate 未通过：零成交分钟比例过高 (0.2167 > 0.2000),0.29310344827586204,PRIMARY_ZERO_MAKER,Development,0.028298144152902157,MUUSDT,374.0,US_STOCK:2026-04-17T20:00:00+00:00:2026-04-20T08:00:00+00:00,0.21666666666666667
