best_window_concentration,cvar_95,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,seed,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
0.6220004354691294,-5.618606523846665,0.7778457469300624,-0.18912087802334016,4.812658072668336,KR_STOCK,8.281418523588643,0.016562837047177287,0.0,0.5279916504702016,-0.05248998714159819,0.5,N20,1.3440823158438502,8,PRIMARY_ZERO_MAKER,59,0.9688427241982859,1.3665706158367845,4.223933203761613,8,-5.618606523846665
0.6220004354691294,-5.618606523846665,0.7778457469300624,-0.18912087802334016,4.812658072668336,KR_STOCK,8.281418523588643,0.016562837047177287,0.0,0.5279916504702016,-0.05248998714159819,0.5,N20,1.3440823158438502,8,PRIMARY_ZERO_MAKER,97,0.9688427241982859,1.3665706158367845,4.223933203761613,8,-5.618606523846665
1.0,-0.5616217954659461,0.07304164875,-0.004363618979999999,-0.4929437656959462,US_LEVERAGED_ETF,1.0970677635637025,0.00438827105425481,0.0,-0.5616217954659461,-0.5616217954659461,0.0,N100,0.0,1,EXECUTION_STRESS,3,1.0,0.14171967852,-0.5616217954659461,1,-0.5616217954659461
1.0,-0.5447289159296951,0.07304164875,-0.004363618979999999,-0.47605088615969515,US_LEVERAGED_ETF,1.046901327278185,0.00418760530911274,0.0,-0.5447289159296951,-0.5447289159296951,0.0,N100,0.0,1,EXECUTION_STRESS,10,1.0,0.14171967852,-0.5447289159296951,1,-0.5447289159296951
1.0,-0.5791804934006358,0.07304164875,-0.004363618979999999,-0.5105024636306359,US_LEVERAGED_ETF,1.046901327278185,0.00418760530911274,0.0,-0.5791804934006358,-0.5791804934006358,0.0,N100,0.0,1,EXECUTION_STRESS,17,1.0,0.14171967852,-0.5791804934006358,1,-0.5791804934006358
1.0,-0.5586300563805664,0.07304164875,-0.004363618979999999,-0.48995202661056647,US_LEVERAGED_ETF,1.080127886826435,0.00432051154730574,0.0,-0.5586300563805664,-0.5586300563805664,0.0,N100,0.0,1,EXECUTION_STRESS,31,1.0,0.14171967852,-0.5586300563805664,1,-0.5586300563805664
1.0,-0.5943012587912928,0.07304164875,-0.004363618979999999,-0.5256232290212929,US_LEVERAGED_ETF,1.051474065961181,0.004205896263844724,0.0,-0.5943012587912928,-0.5943012587912928,0.0,N100,0.0,1,EXECUTION_STRESS,59,1.0,0.14171967852,-0.5943012587912928,1,-0.5943012587912928
1.0,-0.6296272171400475,0.07304164875,-0.004363618979999999,-0.5609491873700476,US_LEVERAGED_ETF,1.0684139426984482,0.004273655770793793,0.0,-0.6296272171400475,-0.6296272171400475,0.0,N100,0.0,1,EXECUTION_STRESS,97,1.0,0.14171967852,-0.6296272171400475,1,-0.6296272171400475
1.0,-0.5162642046608765,0.29844900453327744,-0.004363618979999999,-0.22217881910759918,US_LEVERAGED_ETF,0.9488724871969898,0.003795489948787959,0.0,-0.5162642046608765,-0.5162642046608765,0.0,N100,0.0,1,MAKER_PROMO_OFF,3,1.0,0.34273124505327746,-0.5162642046608765,1,-0.5162642046608765
1.0,-0.5276245266788324,0.29087427585126,-0.004363618979999999,-0.24111386980757243,US_LEVERAGED_ETF,0.9220772954489419,0.0036883091817957675,0.0,-0.5276245266788324,-0.5276245266788324,0.0,N100,0.0,1,MAKER_PROMO_OFF,10,1.0,0.33515651637126004,-0.5276245266788324,1,-0.5276245266788324
1.0,-0.5255806412262582,0.2913994473429607,-0.004363618979999999,-0.23854481286329754,US_LEVERAGED_ETF,0.9238501775890995,0.003695400710356398,0.0,-0.5255806412262582,-0.5255806412262582,0.0,N100,0.0,1,MAKER_PROMO_OFF,17,1.0,0.3356816878629607,-0.5255806412262582,1,-0.5255806412262582
1.0,-0.5122324998231339,0.2947821397569822,-0.004363618979999999,-0.22181397904615174,US_LEVERAGED_ETF,0.920027013626433,0.003680108054505732,0.0,-0.5122324998231339,-0.5122324998231339,0.0,N100,0.0,1,MAKER_PROMO_OFF,31,1.0,0.3390643802769822,-0.5122324998231339,1,-0.5122324998231339
