interaction,left_level,mean_total_pnl,median_total_pnl,profile_count,right_level,scenario
CxE,4,0.8400290852482605,0.1531367353027295,4,1,PRIMARY_ZERO_MAKER
CxE,4,1.7558013659143579,2.1238260920363907,7,2,PRIMARY_ZERO_MAKER
CxE,4,-2.0004699854486714,-1.3100909364825672,3,3,PRIMARY_ZERO_MAKER
CxE,4,1.0485408800215863,1.739671998901878,7,4,PRIMARY_ZERO_MAKER
CxE,4,-2.1312037087607023,-0.9711041986268076,7,5,PRIMARY_ZERO_MAKER
AxC,1,2.5165740871355173,6.3358198510512995,20,1,PRIMARY_ZERO_MAKER
AxC,1,0.6954246506871531,-0.03288007639999871,5,2,PRIMARY_ZERO_MAKER
AxC,1,-0.13200051323586234,-0.48969984565441654,4,3,PRIMARY_ZERO_MAKER
AxC,1,-0.12205699945659555,-0.9711041986268076,6,4,PRIMARY_ZERO_MAKER
AxC,2,4.455484374015466,7.771455399651017,4,1,PRIMARY_ZERO_MAKER
AxC,2,2.56318623702947,2.284870079192227,10,2,PRIMARY_ZERO_MAKER
AxC,2,2.382947234969316,2.3476511459408584,7,3,PRIMARY_ZERO_MAKER
AxC,2,2.1800304547451095,1.739671998901878,8,4,PRIMARY_ZERO_MAKER
AxC,3,6.74997138403267,6.783510984471289,8,1,PRIMARY_ZERO_MAKER
AxC,3,1.4764765723627857,0.76101714887386,12,2,PRIMARY_ZERO_MAKER
AxC,3,0.598474216141169,-0.4703723190041596,6,3,PRIMARY_ZERO_MAKER
AxC,3,-0.4943775255790366,-0.17411174094379916,6,4,PRIMARY_ZERO_MAKER
AxC,4,-0.205544280314443,-0.03699008594999853,5,1,PRIMARY_ZERO_MAKER
AxC,4,-0.7177224633186178,-0.8688642841707115,4,2,PRIMARY_ZERO_MAKER
AxC,4,3.1667237112796527,3.3147591432224526,10,3,PRIMARY_ZERO_MAKER
AxC,4,-1.4588700428591703,-1.8649400773823992,8,4,PRIMARY_ZERO_MAKER
