accepted_fill_count,duration_bars,force_exit_cost,inventory_realized_pnl,paired_grid_pnl,pre_exit_inventory_notional,pre_exit_position_qty,pre_exit_unrealized_pnl,profile,scenario,seed,session_end,session_index,session_pnl,session_start,state_path,stop_exit_cost,stopped_reason,symbol,window_key
154,1306,0.0,-2.929022886779301,1.1264586703318766,121.10974343999193,-0.08,-2.8079131433393263,N100,PRIMARY_ZERO_MAKER,17,2026-05-23T20:45:00+00:00,1,-1.8390925734460286,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.060615426591715954,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
152,1306,0.0,-2.929022886779301,1.1111141329143313,121.10974343999193,-0.08,-2.8079131433393263,N100,PRIMARY_ZERO_MAKER,31,2026-05-23T20:45:00+00:00,1,-1.854437110863574,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.060615426591715954,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
144,1306,0.0,-2.929022886779301,1.0444593667556048,121.10974343999193,-0.08,-2.8079131433393263,N100,PRIMARY_ZERO_MAKER,59,2026-05-23T20:45:00+00:00,1,-1.9210918770223004,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.060615426591715954,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
158,1306,0.0,-2.929022886779301,1.146679332555059,121.10974343999193,-0.08,-2.8079131433393263,N100,PRIMARY_ZERO_MAKER,97,2026-05-23T20:45:00+00:00,1,-1.8188719112228462,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.060615426591715954,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
132,1306,0.0,-3.110687501939308,0.9533651546640523,121.10974343999193,-0.08,-2.8079131433393263,N100,EXECUTION_STRESS,3,2026-05-23T20:45:00+00:00,1,-2.2242946660310876,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09105938834894393,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
132,1306,0.0,-3.110687501939308,0.9553196816740366,121.10974343999193,-0.08,-2.8079131433393263,N100,EXECUTION_STRESS,10,2026-05-23T20:45:00+00:00,1,-2.2223401390211035,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09105938834894393,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
138,1306,0.0,-3.110687501939308,1.0047519634693394,121.10974343999193,-0.08,-2.8079131433393263,N100,EXECUTION_STRESS,17,2026-05-23T20:45:00+00:00,1,-2.172907857225801,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09105938834894393,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
130,1306,0.0,-3.110687501939308,0.9439447774102634,121.10974343999193,-0.08,-2.8079131433393263,N100,EXECUTION_STRESS,31,2026-05-23T20:45:00+00:00,1,-2.2337150432848767,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09105938834894393,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
132,1306,0.0,-3.110687501939308,0.9541462986026068,121.10974343999193,-0.08,-2.8079131433393263,N100,EXECUTION_STRESS,59,2026-05-23T20:45:00+00:00,1,-2.2187801129702374,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09105938834894393,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
132,1306,0.0,-3.110687501939308,0.9495946498012247,121.10974343999193,-0.08,-2.8079131433393263,N100,EXECUTION_STRESS,97,2026-05-23T20:45:00+00:00,1,-2.2280651708939154,2026-05-22T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09105938834894393,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-22T20:00:00+00:00:2026-05-26T08:00:00+00:00
4,2679,0.0,-3.809770088922946,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,PRIMARY_ZERO_MAKER,3,2026-05-31T19:38:00+00:00,1,-3.191562111989529,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09543613504446147,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.809770088922946,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,PRIMARY_ZERO_MAKER,10,2026-05-31T19:38:00+00:00,1,-3.191562111989529,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09543613504446147,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.809770088922946,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,PRIMARY_ZERO_MAKER,17,2026-05-31T19:38:00+00:00,1,-3.191562111989529,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09543613504446147,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.809770088922946,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,PRIMARY_ZERO_MAKER,31,2026-05-31T19:38:00+00:00,1,-3.191562111989529,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09543613504446147,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.809770088922946,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,PRIMARY_ZERO_MAKER,59,2026-05-31T19:38:00+00:00,1,-3.191562111989529,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09543613504446147,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.809770088922946,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,PRIMARY_ZERO_MAKER,97,2026-05-31T19:38:00+00:00,1,-3.191562111989529,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09543613504446147,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-4.095792471673588,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,EXECUTION_STRESS,3,2026-05-31T19:38:00+00:00,1,-3.525517079049465,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1433687193537552,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-4.095792471673588,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,EXECUTION_STRESS,10,2026-05-31T19:38:00+00:00,1,-3.525517079049465,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1433687193537552,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-4.095792471673588,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,EXECUTION_STRESS,17,2026-05-31T19:38:00+00:00,1,-3.525517079049465,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1433687193537552,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-4.095792471673588,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,EXECUTION_STRESS,31,2026-05-31T19:38:00+00:00,1,-3.525517079049465,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1433687193537552,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-4.095792471673588,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,EXECUTION_STRESS,59,2026-05-31T19:38:00+00:00,1,-3.525517079049465,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1433687193537552,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-4.095792471673588,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,EXECUTION_STRESS,97,2026-05-31T19:38:00+00:00,1,-3.525517079049465,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1433687193537552,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.905110883173177,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,MAKER_PROMO_OFF,3,2026-05-31T19:38:00+00:00,1,-3.364888445459281,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09548380544158658,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.905110883173177,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,MAKER_PROMO_OFF,10,2026-05-31T19:38:00+00:00,1,-3.364888445459281,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09548380544158658,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.905110883173177,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,MAKER_PROMO_OFF,17,2026-05-31T19:38:00+00:00,1,-3.364888445459281,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09548380544158658,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.905110883173177,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,MAKER_PROMO_OFF,31,2026-05-31T19:38:00+00:00,1,-3.364888445459281,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09548380544158658,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.905110883173177,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,MAKER_PROMO_OFF,59,2026-05-31T19:38:00+00:00,1,-3.364888445459281,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09548380544158658,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
4,2679,0.0,-3.905110883173177,0.7136441119778782,190.68158850042252,-0.11,-3.6190885004225355,N20,MAKER_PROMO_OFF,97,2026-05-31T19:38:00+00:00,1,-3.364888445459281,2026-05-29T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.09548380544158658,stop_loss_upper,SNDKUSDT,US_STOCK:2026-05-29T20:00:00+00:00:2026-06-01T08:00:00+00:00
2,198,0.0,-4.982422753661606,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,PRIMARY_ZERO_MAKER,3,2026-06-06T02:17:00+00:00,1,-5.261574764107446,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1134220886231692,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-4.982422753661606,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,PRIMARY_ZERO_MAKER,10,2026-06-06T02:17:00+00:00,1,-5.261574764107446,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1134220886231692,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-4.982422753661606,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,PRIMARY_ZERO_MAKER,17,2026-06-06T02:17:00+00:00,1,-5.261574764107446,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1134220886231692,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-4.982422753661606,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,PRIMARY_ZERO_MAKER,31,2026-06-06T02:17:00+00:00,1,-5.261574764107446,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1134220886231692,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-4.982422753661606,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,PRIMARY_ZERO_MAKER,59,2026-06-06T02:17:00+00:00,1,-5.261574764107446,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1134220886231692,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-4.982422753661606,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,PRIMARY_ZERO_MAKER,97,2026-06-06T02:17:00+00:00,1,-5.261574764107446,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.1134220886231692,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.323029626403846,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,EXECUTION_STRESS,3,2026-06-06T02:17:00+00:00,1,-5.658637226006714,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.16987767778019713,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.323029626403846,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,EXECUTION_STRESS,10,2026-06-06T02:17:00+00:00,1,-5.658637226006714,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.16987767778019713,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.323029626403846,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,EXECUTION_STRESS,17,2026-06-06T02:17:00+00:00,1,-5.658637226006714,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.16987767778019713,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.323029626403846,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,EXECUTION_STRESS,31,2026-06-06T02:17:00+00:00,1,-5.658637226006714,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.16987767778019713,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.323029626403846,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,EXECUTION_STRESS,59,2026-06-06T02:17:00+00:00,1,-5.658637226006714,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.16987767778019713,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.323029626403846,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,EXECUTION_STRESS,97,2026-06-06T02:17:00+00:00,1,-5.658637226006714,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.16987767778019713,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.095958377909008,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,MAKER_PROMO_OFF,3,2026-06-06T02:17:00+00:00,1,-5.421418940542725,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11336532081104551,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.095958377909008,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,MAKER_PROMO_OFF,10,2026-06-06T02:17:00+00:00,1,-5.421418940542725,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11336532081104551,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.095958377909008,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,MAKER_PROMO_OFF,17,2026-06-06T02:17:00+00:00,1,-5.421418940542725,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11336532081104551,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
2,198,0.0,-5.095958377909008,0.0,227.07124849483324,0.15000000000000002,-4.755351505166768,N20,MAKER_PROMO_OFF,31,2026-06-06T02:17:00+00:00,1,-5.421418940542725,2026-06-05T23:00:00+00:00,OBSERVING>RUNNING>DEFENSIVE>COOLDOWN,0.11336532081104551,stop_loss,SNDKUSDT,US_STOCK:2026-06-05T20:00:00+00:00:2026-06-08T08:00:00+00:00
