best_window_concentration,cvar_95,engine_mode,fees_paid,funding_paid,gross_grid_pnl,market_group,max_drawdown,max_drawdown_pct,mean_inventory_drag_ratio,mean_window_pnl,median_window_pnl,positive_ratio,profile,profit_factor,runs,scenario,seed,top_3_window_concentration,total_cost,total_pnl,unique_windows,worst_window_pnl
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.3982397825177204,0.0,0.002501647144325325,US_LEVERAGED_ETF,3.2974682821717876,0.01318987312868715,0.9470030437380195,-0.19786906768669754,-0.19786906768669754,0.5,N20,0.227301516278657,2,MAKER_PROMO_OFF,3,1.0,0.3982397825177204,-0.3957381353733951,2,-0.5121507854752171
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.47901955124440765,0.0,1.8522065718055387,US_LEVERAGED_ETF,3.297468282171787,0.013189873128687149,0.7908503928529239,0.6865935102805656,0.6865935102805656,0.5,N20,3.6812162736155356,2,MAKER_PROMO_OFF,10,1.0,0.47901955124440765,1.3731870205611312,2,-0.5121507854752171
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.4790195512444077,0.0,1.8522065718055387,US_LEVERAGED_ETF,3.297468282171787,0.013189873128687149,0.7908503928529239,0.6865935102805656,0.6865935102805656,0.5,N20,3.6812162736155356,2,MAKER_PROMO_OFF,17,1.0,0.4790195512444077,1.3731870205611312,2,-0.5121507854752171
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.4790195512444077,0.0,1.8522065718055387,US_LEVERAGED_ETF,3.297468282171787,0.013189873128687149,0.7908503928529239,0.6865935102805656,0.6865935102805656,0.5,N20,3.6812162736155356,2,MAKER_PROMO_OFF,31,1.0,0.4790195512444077,1.3731870205611312,2,-0.5121507854752171
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.4790195512444077,0.0,1.8522065718055387,US_LEVERAGED_ETF,3.297468282171787,0.013189873128687149,0.7908503928529239,0.6865935102805656,0.6865935102805656,0.5,N20,3.6812162736155356,2,MAKER_PROMO_OFF,59,1.0,0.4790195512444077,1.3731870205611312,2,-0.5121507854752171
1.0,-0.5121507854752171,R0_STATIC_REPAIRED,0.4790195512444077,0.0,1.8522065718055387,US_LEVERAGED_ETF,3.297468282171787,0.013189873128687149,0.7908503928529239,0.6865935102805656,0.6865935102805656,0.5,N20,3.6812162736155356,2,MAKER_PROMO_OFF,97,1.0,0.4790195512444077,1.3731870205611312,2,-0.5121507854752171
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,0.12477366062580986,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.9470030437380195,0.0012495420865978601,0.0012495420865978601,0.5,N20,1.0074750971708974,2,PRIMARY_ZERO_MAKER,3,1.0,0.12227457645261411,0.0024990841731957203,2,-0.3343212959057322
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,1.9744785852870232,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.7908503928529239,0.9261020044172045,0.9261020044172045,0.5,N20,6.540191520903504,2,PRIMARY_ZERO_MAKER,10,1.0,0.12227457645261411,1.852204008834409,2,-0.3343212959057322
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,1.9744785852870232,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.7908503928529239,0.9261020044172045,0.9261020044172045,0.5,N20,6.540191520903504,2,PRIMARY_ZERO_MAKER,17,1.0,0.12227457645261411,1.852204008834409,2,-0.3343212959057322
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,1.9744785852870232,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.7908503928529239,0.9261020044172045,0.9261020044172045,0.5,N20,6.540191520903504,2,PRIMARY_ZERO_MAKER,31,1.0,0.12227457645261411,1.852204008834409,2,-0.3343212959057322
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,1.9744785852870232,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.7908503928529239,0.9261020044172045,0.9261020044172045,0.5,N20,6.540191520903504,2,PRIMARY_ZERO_MAKER,59,1.0,0.12227457645261411,1.852204008834409,2,-0.3343212959057322
1.0,-0.3343212959057322,R0_STATIC_REPAIRED,0.12227457645261411,0.0,1.9744785852870232,US_LEVERAGED_ETF,3.22379954110228,0.01289519816440912,0.7908503928529239,0.9261020044172045,0.9261020044172045,0.5,N20,6.540191520903504,2,PRIMARY_ZERO_MAKER,97,1.0,0.12227457645261411,1.852204008834409,2,-0.3343212959057322
