classification,confirmation_state,profile_id,scenario,seed,signal_time,symbol,window_key
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-10m,PRIMARY_ZERO_MAKER,31,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,31,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,31,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C1-R3-10m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C1-R3-30m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-10m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-10m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,59,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C1-R3-10m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C1-R3-30m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-10m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-20m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C2-R3-30m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-10m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-20m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
TRUE_BREAKOUT,BREAKOUT_REJECTED,D2-C3-R3-30m,PRIMARY_ZERO_MAKER,97,2026-08-17T03:16:59.999000+00:00,SNDKUSDT,NYSE:2026-08-14T20:00:00+00:00:2026-08-17T06:00:00+00:00
